Outlet_ID,Brand,Outlet_Name,City,State,PIN_Code,Outlet_Format,Primary_Category,Opening_Date,Monthly_Orders,Monthly_Sales_INR,Avg_Order_Value_INR,Customer_Rating,Staff_Count,Delivery_Partners,Monthly_Rent_INR,Preferred_Payment,Service_Mode,Outlet_Status,Ownership_Type
OUT10001,Burger King,Burger King - Ahmedabad 15,Ahmedabad,Gujarat,380001.0,Drive-Thru,Tacos,2025-10-26,128.0,8553.45,66.82,4.2,21.0,28.0,89536.78,Wallet,Drive-thru,Open,Franchise
OUT10002,Mcdonald'S,McDonald's - Noida 7,Noida,Uttar Pradesh,201301.0,Standalone,Burger,2023-08-15,222.0,21236.15,95.66,3.5,30.0,18.0,34134.45,Cash,Dine-in,Closed,Company Owned
OUT10003,Burger King,Burger King - Nashik 5,Nashik,Maharashtra,400601.0,Food Court,Burger,2025-02-09,180.0,16618.02,92.32,4.0,21.0,20.0,68697.92,Cash,Drive-thru,Open,Company Owned
OUT10004,Burger King,Burger King - Vijayawada 28,Vijayawada,Andhra Pradesh,248001.0,Mall,Sandwich,2025-01-14,50.0,25811.81,516.24,4.3,22.0,33.0,97765.75,UPI,Drive-thru,Renovation,Company Owned
OUT10005,Starbucks,Starbucks - Shillong 37,Shillong,Meghalaya,737101.0,Standalone,Unknown,2024-06-13,183.0,9656.45,52.77,5.0,20.0,3.0,78847.29,Card,Dine-in,Open,Franchise
OUT10006,Dunkin',Dunkin' - Jammu 10,Jammu,Jammu And Kashmir,799001.0,Standalone,Fried Chicken,2025-05-29,167.0,24596.28,147.28,2.5,7.0,31.0,148638.26,Wallet,Takeaway,Renovation,Company Owned
OUT10007,Subway,Subway - Kolkata 26,Kolkata,West Bengal,700091.0,Standalone,Fried Chicken,2025-10-24,152.0,6255.66,41.16,3.8,13.0,19.0,185541.25,UPI,Delivery,Open,Company Owned
OUT10008,Starbucks,Starbucks - Kavaratti 13,Kavaratti,Lakshadweep,797001.0,Food Court,Coffee & Snacks,2025-09-29,138.0,8320.31,60.29,3.9,19.0,31.0,103488.03,Wallet,Drive-thru,Renovation,Franchise
OUT10009,Burger King,Burger King - Indore 29,Indore,Madhya Pradesh,403001.0,Drive-Thru,Pizza,2025-07-26,118.0,14478.01,122.7,4.6,18.0,13.0,119179.61,Wallet,Drive-thru,Open,Company Owned
OUT10010,Burger King,Burger King - Jaipur 27,Jaipur,Rajasthan,302001.0,High Street,Sandwich,2023-07-17,149.0,18482.17,124.04,4.1,4.0,7.0,74831.51,UPI,Drive-thru,Renovation,Franchise
OUT10011,Pizza Hut,Pizza Hut - Noida 40,Noida,Uttar Pradesh,226001.0,Mall,Donuts,2024-05-22,149.0,20023.87,134.39,4.8,21.0,19.0,49173.19,Cash,Dine-in,Open,Company Owned
OUT10012,Dunkin',Dunkin' - Kolkata 35,Kolkata,West Bengal,700001.0,High Street,Sandwich,2025-10-04,197.0,31545.94,160.13,3.5,22.0,10.0,96509.51,Cash,Delivery,Closed,Franchise
OUT10013,Dunkin',Dunkin' - Surat 25,Surat,Gujarat,395001.0,High Street,Tacos,2024-09-18,162.0,17783.47,109.77,3.7,29.0,14.0,55009.4,Wallet,Delivery,Open,Company Owned
OUT10014,Kfc,KFC - Patna 2,Patna,Bihar,797001.0,Mall,Tacos,2024-12-11,750.0,250000.0,597.59,2.2,19.0,22.0,107839.97,Cash,Drive-thru,Open,Franchise
OUT10015,Wendy'S,Wendy's - Jaipur 38,Jaipur,Rajasthan,302001.0,Drive-Thru,Fried Chicken,2023-12-16,195.0,11252.99,57.71,4.3,17.0,23.0,115027.37,Wallet,Dine-in,Open,Company Owned
OUT10016,Pizza Hut,Pizza Hut - Itanagar 35,Itanagar,Arunachal Pradesh,800001.0,Mall,Sandwich,2023-12-22,185.0,15666.15,84.68,4.2,28.0,14.0,97087.04,Wallet,Delivery,Open,Franchise
OUT10017,Starbucks,Starbucks - Daman 12,Daman,Dadra And Nagar Haveli And Daman And Diu,560001.0,Standalone,Pizza,2023-10-10,109.0,15050.82,138.08,4.4,17.0,28.0,71092.73,UPI,Drive-thru,Open,Franchise
OUT10018,Domino'S,Domino's - Nashik 32,Nashik,Maharashtra,422001.0,Standalone,Pizza,2024-06-23,172.0,19710.35,114.6,3.9,18.0,13.0,94010.8,Cash,Drive-thru,Closed,Franchise
OUT10019,Starbucks,Starbucks - Gangtok 14,Gangtok,Sikkim,403001.0,High Street,Burger,2024-07-14,167.0,19542.68,117.02,4.1,6.0,31.0,114226.45,Cash,Drive-thru,Renovation,Franchise
OUT10020,Burger King,Burger King - Vijayawada 36,Vijayawada,Andhra Pradesh,797001.0,Drive-Thru,Donuts,2023-11-18,141.0,20614.52,146.2,3.9,21.0,15.0,104548.39,UPI,Takeaway,Renovation,Franchise
OUT10021,Subway,Subway - Hyderabad 7,Hyderabad,Telangana,500001.0,Food Court,Burger,2024-07-03,144.0,24420.87,169.59,4.6,17.0,12.0,41480.4,UPI,Delivery,Open,Franchise
OUT10022,Mcdonald'S,McDonald's - Dehradun 18,Dehradun,Uttarakhand,796001.0,Drive-Thru,Donuts,2025-11-03,220.0,27945.57,127.03,3.6,6.0,20.0,174119.54,Cash,Dine-in,Open,Company Owned
OUT10023,Kfc,KFC - Patna 27,Patna,Bihar,795001.0,Mall,Burger,2025-04-23,162.0,22985.58,141.89,4.9,7.0,17.0,68217.46,UPI,Takeaway,Open,Franchise
OUT10024,Starbucks,Starbucks - New Delhi 30,New Delhi,Delhi,110017.0,Drive-Thru,Coffee & Snacks,2024-12-18,94.0,16583.63,176.42,4.1,24.0,4.0,103948.42,Wallet,Takeaway,Renovation,Franchise
OUT10025,Wendy'S,Wendy's - Lucknow 8,Lucknow,Uttar Pradesh,221001.0,Food Court,Donuts,2025-05-22,185.0,31782.01,171.79,3.6,20.0,18.0,47687.15,Wallet,Takeaway,Open,Franchise
OUT10026,Taco Bell,Taco Bell - Puducherry 22,Puducherry,Puducherry,793001.0,Food Court,Coffee & Snacks,2023-02-18,166.0,18833.83,113.46,4.0,28.0,9.0,42316.44,Cash,Drive-thru,Open,Franchise
OUT10027,Burger King,Burger King - Chennai 8,Chennai,Tamil Nadu,600001.0,High Street,Tacos,2024-02-09,183.0,23930.55,130.77,3.8,7.0,9.0,185191.49,UPI,Dine-in,Renovation,Company Owned
OUT10028,Subway,Subway - Lucknow 38,Lucknow,Uttar Pradesh,201301.0,High Street,Pizza,2023-02-28,90.0,26678.18,296.42,3.7,17.0,26.0,60096.72,Wallet,Dine-in,Closed,Franchise
OUT10029,Domino'S,Domino's - Port Blair 2,Port Blair,Andaman And Nicobar Islands,396210.0,Drive-Thru,Coffee & Snacks,2024-01-11,91.0,26751.99,293.98,3.7,21.0,27.0,73112.95,Cash,Dine-in,Open,Franchise
OUT10030,Subway,Subway - Vijayawada 17,Vijayawada,Andhra Pradesh,737101.0,Food Court,Fried Chicken,2025-09-07,129.0,22229.95,172.33,4.6,24.0,7.0,102572.29,Card,Delivery,Renovation,Company Owned
OUT10031,Starbucks,Starbucks - Nagpur 1,Nagpur,Maharashtra,400001.0,High Street,Sandwich,2024-10-12,214.0,29431.89,137.53,3.8,5.0,16.0,103100.44,Card,Drive-thru,Open,Franchise
